city,county,2010 population,2000 population,percent change,2010 land area in sq mi,2010 land area in sq km,density
Carlton,Barry,"2,391","2,331",2.60%,35.13,91,68.1/sq mi (26.3/km2)
Carmel,Eaton,"2,855","2,626",8.70%,34.02,88.1,83.9/sq mi (32.4/km2)
Carney,Menominee,192,225,?14.7%,1,2.6,192.0/sq mi (74.1/km2)
CaroCounty seat,Tuscola,"4,229","4,145",2.00%,2.79,7.2,"1,515.8/sq mi (585.2/km2)"
Carp Lake,Emmet,759,807,?5.9%,32.35,83.8,23.5/sq mi (9.1/km2)
Carp Lake,Ontonagon,722,891,?19.0%,224.84,582.3,3.2/sq mi (1.2/km2)
Carrollton,Saginaw,"6,103","6,602",?7.6%,3.34,8.7,"1,827.2/sq mi (705.5/km2)"
Carson City,Montcalm,"1,093","1,190",?8.2%,1.04,2.7,"1,051.0/sq mi (405.8/km2)"
Carsonville,Sanilac,527,502,5.00%,1.13,2.9,466.4/sq mi (180.1/km2)
Cascade,Kent,"17,134","15,107",13.40%,33.88,87.7,505.7/sq mi (195.3/km2)
Casco,Allegan,"2,823","3,019",?6.5%,38.87,100.7,72.6/sq mi (28.0/km2)
Casco,St. Clair,"4,105","4,747",?13.5%,36.88,95.5,111.3/sq mi (43.0/km2)
Case,Presque Isle,903,942,?4.1%,67.2,174,13.4/sq mi (5.2/km2)
Caseville,Huron,777,888,?12.5%,1.1,2.8,706.4/sq mi (272.7/km2)
Caseville,Huron,"2,570","2,723",?5.6%,13.72,35.5,187.3/sq mi (72.3/km2)
Casnovia,Kent,319,315,1.30%,1.08,2.8,295.4/sq mi (114.0/km2)
,Muskegon,,,,,,
Casnovia,Muskegon,"2,805","2,652",5.80%,35.6,92.2,78.8/sq mi (30.4/km2)
Caspian,Iron,906,997,?9.1%,1.42,3.7,638.0/sq mi (246.3/km2)
Cass City,Tuscola,"2,428","2,643",?8.1%,1.78,4.6,"1,364.0/sq mi (526.7/km2)"
CassopolisCounty seat,Cass,"1,774","1,740",2.00%,2,5.2,887.0/sq mi (342.5/km2)
Castleton,Barry,"3,471","3,475",?0.1%,34.97,90.6,99.3/sq mi (38.3/km2)
Cato,Montcalm,"2,735","2,920",?6.3%,35.14,91,77.8/sq mi (30.1/km2)
Cedar,Osceola,455,406,12.10%,34.48,89.3,13.2/sq mi (5.1/km2)
Cedar Creek,Muskegon,"3,186","3,109",2.50%,34.7,89.9,91.8/sq mi (35.5/km2)
Cedar Creek,Wexford,"1,757","1,489",18.00%,34.12,88.4,51.5/sq mi (19.9/km2)
Cedar Springs,Kent,"3,509","3,112",12.80%,2.03,5.3,"1,728.6/sq mi (667.4/km2)"
Cedarville,Menominee,253,276,?8.3%,78.94,204.5,3.2/sq mi (1.2/km2)
Cement City,Jackson,438,452,?3.1%,0.9,2.3,486.7/sq mi (187.9/km2)
,Lenawee,,,,,,
Center,Emmet,568,499,13.80%,34.3,88.8,16.6/sq mi (6.4/km2)
Center Line,Macomb,"8,257","8,531",?3.2%,1.74,4.5,"4,745.4/sq mi (1,832.2/km2)"
Centerville,Leelanau,"1,274","1,095",16.30%,27.7,71.7,46.0/sq mi (17.8/km2)
Central Lake,Antrim,952,990,?3.8%,1.07,2.8,889.7/sq mi (343.5/km2)
Central Lake,Antrim,"2,198","2,254",?2.5%,27.5,71.2,79.9/sq mi (30.9/km2)
CentrevilleCounty seat,St. Joseph,"1,425","1,579",?9.8%,1.49,3.9,956.4/sq mi (369.3/km2)
Champion,Marquette,297,297,0.00%,120.89,313.1,2.5/sq mi (0.9/km2)
Chandler,Charlevoix,248,230,7.80%,35.6,92.2,7.0/sq mi (2.7/km2)
Chandler,Huron,472,501,?5.8%,35.3,91.4,13.4/sq mi (5.2/km2)
Chapin,Saginaw,"1,060","1,045",1.40%,24.65,63.8,43.0/sq mi (16.6/km2)
Charleston,Kalamazoo,"1,975","1,813",8.90%,34.78,90.1,56.8/sq mi (21.9/km2)
CharlevoixCounty seat,Charlevoix,"2,513","2,994",?16.1%,2.05,5.3,"1,225.9/sq mi (473.3/km2)"
Charlevoix,Charlevoix,"1,645","1,697",?3.1%,5.94,15.4,276.9/sq mi (106.9/km2)
CharlotteCounty seat,Eaton,"9,074","8,389",8.20%,6.45,16.7,"1,406.8/sq mi (543.2/km2)"
Charlton,Otsego,"1,354","1,330",1.80%,100.37,260,13.5/sq mi (5.2/km2)
Chase,Lake,"1,137","1,194",?4.8%,35.4,91.7,32.1/sq mi (12.4/km2)
Chassell,Houghton,"1,812","1,822",?0.5%,48.33,125.2,37.5/sq mi (14.5/km2)
Chatham,Alger,220,231,?4.8%,2.45,6.3,89.8/sq mi (34.7/km2)
CheboyganCounty seat,Cheboygan,"4,867","5,295",?8.1%,6.8,17.6,715.7/sq mi (276.3/km2)
Chelsea,Washtenaw,"4,944","4,398",12.40%,3.63,9.4,"1,362.0/sq mi (525.9/km2)"
Cherry Grove,Wexford,"2,377","2,328",2.10%,33.37,86.4,71.2/sq mi (27.5/km2)
Cherry Valley,Lake,396,368,7.60%,35.61,92.2,11.1/sq mi (4.3/km2)
Chesaning,Saginaw,"2,394","2,548",?6.0%,3.05,7.9,784.9/sq mi (303.1/km2)
Chesaning,Saginaw,"4,659","4,861",?4.2%,34.27,88.8,135.9/sq mi (52.5/km2)
Cheshire,Allegan,"2,199","2,335",?5.8%,34.82,90.2,63.2/sq mi (24.4/km2)
Chester,Eaton,"1,747","1,778",?1.7%,36.03,93.3,48.5/sq mi (18.7/km2)
Chester,Otsego,"1,292","1,265",2.10%,67.56,175,19.1/sq mi (7.4/km2)
Chester,Ottawa,"2,017","2,315",?12.9%,35.63,92.3,56.6/sq mi (21.9/km2)
Chesterfield,Macomb,"43,381","37,405",16.00%,27.58,71.4,"1,572.9/sq mi (607.3/km2)"
Chestonia,Antrim,511,546,?6.4%,35.27,91.3,14.5/sq mi (5.6/km2)
Chikaming,Berrien,"3,100","3,678",?15.7%,21.94,56.8,141.3/sq mi (54.6/km2)
China,St. Clair,"3,551","3,340",6.30%,34.03,88.1,104.3/sq mi (40.3/km2)
Chippewa,Chippewa,213,238,?10.5%,94.84,245.6,2.2/sq mi (0.9/km2)
Chippewa,Isabella,"4,654","4,617",0.80%,35.85,92.9,129.8/sq mi (50.1/km2)
Chippewa,Mecosta,"1,212","1,239",?2.2%,32.98,85.4,36.7/sq mi (14.2/km2)
Chocolay,Marquette,"5,903","7,148",?17.4%,58.98,152.8,100.1/sq mi (38.6/km2)
Churchill,Ogemaw,"1,713","1,603",6.90%,35.53,92,48.2/sq mi (18.6/km2)
Clam Lake,Wexford,"2,467","2,238",10.20%,30.71,79.5,80.3/sq mi (31.0/km2)
Clam Union,Missaukee,882,882,0.00%,35.59,92.2,24.8/sq mi (9.6/km2)
Clare,Clare,"3,118","3,173",?1.7%,3.39,8.8,919.8/sq mi (355.1/km2)
,Isabella,,,,,,
Clarence,Calhoun,"1,985","2,032",?2.3%,32.55,84.3,61.0/sq mi (23.5/km2)
Clarendon,Calhoun,"1,139","1,114",2.20%,35.54,92,32.0/sq mi (12.4/km2)
Clark,Mackinac,"2,056","2,200",?6.5%,78.97,204.5,26.0/sq mi (10.1/km2)
Clarksville,Ionia,394,317,24.30%,0.5,1.3,788.0/sq mi (304.2/km2)
Clawson,Oakland,"11,825","12,732",?7.1%,2.2,5.7,"5,375.0/sq mi (2,075.3/km2)"
Clay,St. Clair,"9,066","9,822",?7.7%,35.32,91.5,256.7/sq mi (99.1/km2)
Claybanks,Oceana,777,831,?6.5%,23.49,60.8,33.1/sq mi (12.8/km2)
Clayton,Arenac,"1,097","1,101",?0.4%,32.07,83.1,34.2/sq mi (13.2/km2)
Clayton,Genesee,"7,581","7,546",0.50%,34.16,88.5,221.9/sq mi (85.7/km2)
Clayton,Lenawee,344,326,5.50%,0.71,1.8,484.5/sq mi (187.1/km2)
Clearwater,Kalkaska,"2,444","2,382",2.60%,31.17,80.7,78.4/sq mi (30.3/km2)
Clement,Gladwin,901,994,?9.4%,20.04,51.9,45.0/sq mi (17.4/km2)
Cleon,Manistee,957,932,2.70%,36.07,93.4,26.5/sq mi (10.2/km2)
Cleveland,Leelanau,"1,031","1,040",?0.9%,30.69,79.5,33.6/sq mi (13.0/km2)
Clifford,Lapeer,324,324,0.00%,1.51,3.9,214.6/sq mi (82.8/km2)
Climax,Kalamazoo,767,791,?3.0%,1.06,2.7,723.6/sq mi (279.4/km2)
Climax,Kalamazoo,"2,463","2,412",2.10%,36.14,93.6,68.2/sq mi (26.3/km2)
Clinton,Lenawee,"2,336","2,293",1.90%,1.84,4.8,"1,269.6/sq mi (490.2/km2)"
Clinton,Lenawee,"3,604","3,624",?0.6%,18.13,47,198.8/sq mi (76.8/km2)
Clinton,Macomb,"96,796","95,648",1.20%,28.1,73,"3,444.7/sq mi (1,330.0/km2)"
Clinton,Oscoda,441,511,?13.7%,70.5,183,6.3/sq mi (2.4/km2)
Clio,Genesee,"2,646","2,483",6.60%,1.11,2.9,"2,383.8/sq mi (920.4/km2)"
Clyde,Allegan,"2,084","2,104",?1.0%,34.8,90,59.9/sq mi (23.1/km2)
Clyde,St. Clair,"5,579","5,523",1.00%,35.65,92.3,156.5/sq mi (60.4/km2)
Coe,Isabella,"3,079","2,993",2.90%,36.17,93.7,85.1/sq mi (32.9/km2)
Cohoctah,Livingston,"3,317","3,394",?2.3%,37.92,98.2,87.5/sq mi (33.8/km2)
Coldsprings,Kalkaska,"1,464","1,449",1.00%,34.51,89.4,42.4/sq mi (16.4/km2)
ColdwaterCounty seat,Branch,"10,945","12,697",?13.8%,8.03,20.8,"1,363.0/sq mi (526.3/km2)"
Coldwater,Branch,"6,102","3,678",65.90%,27.54,71.3,221.6/sq mi (85.5/km2)
Coldwater,Isabella,777,737,5.40%,35.92,93,21.6/sq mi (8.4/km2)
Coleman,Midland,"1,243","1,296",?4.1%,1.26,3.3,986.5/sq mi (380.9/km2)
Colfax,Benzie,657,585,12.30%,35.65,92.3,18.4/sq mi (7.1/km2)
Colfax,Huron,"1,884","1,954",?3.6%,34.55,89.5,54.5/sq mi (21.1/km2)
Colfax,Mecosta,"1,933","1,975",?2.1%,35.11,90.9,55.1/sq mi (21.3/km2)
Colfax,Oceana,462,574,?19.5%,32.71,84.7,14.1/sq mi (5.5/km2)
Colfax,Wexford,840,763,10.10%,35.26,91.3,23.8/sq mi (9.2/km2)
Coloma,Berrien,"1,483","1,595",?7.0%,0.89,2.3,"1,666.3/sq mi (643.4/km2)"
Coloma,Berrien,"5,020","5,217",?3.8%,17.97,46.5,279.4/sq mi (107.9/km2)
Colon,St. Joseph,"1,173","1,227",?4.4%,1.37,3.5,856.2/sq mi (330.6/km2)
Colon,St. Joseph,"3,329","3,405",?2.2%,34.36,89,96.9/sq mi (37.4/km2)
Columbia,Jackson,"7,420","7,234",2.60%,36.64,94.9,202.5/sq mi (78.2/km2)
Columbia,Tuscola,"1,284","1,419",?9.5%,35.98,93.2,35.7/sq mi (13.8/km2)
Columbia,Van Buren,"2,588","2,714",?4.6%,33.91,87.8,76.3/sq mi (29.5/km2)
Columbiaville,Lapeer,787,815,?3.4%,0.85,2.2,925.9/sq mi (357.5/km2)
Columbus,Luce,204,215,?5.1%,140.34,363.5,1.5/sq mi (0.6/km2)
Columbus,St. Clair,"4,070","4,615",?11.8%,36.64,94.9,111.1/sq mi (42.9/km2)
Comins,Oscoda,"1,970","2,017",?2.3%,70.56,182.7,27.9/sq mi (10.8/km2)
Commerce,Oakland,"40,186","34,764",15.60%,27.45,71.1,"1,464.0/sq mi (565.2/km2)"
Comstock,Kalamazoo,"14,854","13,851",7.20%,33.31,86.3,445.9/sq mi (172.2/km2)
Concord,Jackson,"1,050","1,101",?4.6%,1.5,3.9,700.0/sq mi (270.3/km2)
Concord,Jackson,"2,723","2,692",1.20%,35.73,92.5,76.2/sq mi (29.4/km2)
Constantine,St. Joseph,"2,076","2,095",?0.9%,1.61,4.2,"1,289.4/sq mi (497.9/km2)"
Constantine,St. Joseph,"4,217","4,181",0.90%,34.47,89.3,122.3/sq mi (47.2/km2)
Convis,Calhoun,"1,636","1,666",?1.8%,35.37,91.6,46.3/sq mi (17.9/km2)
Conway,Livingston,"3,546","2,732",29.80%,37.73,97.7,94.0/sq mi (36.3/km2)
Cooper,Kalamazoo,"10,111","8,754",15.50%,36.33,94.1,278.3/sq mi (107.5/km2)
Coopersville,Ottawa,"4,275","3,910",9.30%,4.81,12.5,888.8/sq mi (343.2/km2)
Copemish,Manistee,194,232,?16.4%,0.93,2.4,208.6/sq mi (80.5/km2)
Copper City,Houghton,190,205,?7.3%,0.08,0.21,"2,375.0/sq mi (917.0/km2)"
Cornell,Delta,593,557,6.50%,59.73,154.7,9.9/sq mi (3.8/km2)
CorunnaCounty seat,Shiawassee,"3,497","3,381",3.40%,3.19,8.3,"1,096.2/sq mi (423.3/km2)"
Corwith,Otsego,"1,748","1,719",1.70%,107.48,278.4,16.3/sq mi (6.3/km2)
Cottrellville,St. Clair,"3,559","3,814",?6.7%,20.86,54,170.6/sq mi (65.9/km2)
Courtland,Kent,"7,678","5,817",32.00%,34.7,90,221.3/sq mi (85.4/km2)
Covert,Van Buren,"2,888","3,141",?8.1%,34.92,90.4,82.7/sq mi (31.9/km2)
Covington,Baraga,476,569,?16.3%,192.26,498,2.5/sq mi (1.0/km2)
Crockery,Ottawa,"3,960","3,782",4.70%,32.45,84,122.0/sq mi (47.1/km2)
Cross Village,Emmet,281,294,?4.4%,10.1,26,27.8/sq mi (10.7/km2)
Croswell,Sanilac,"2,447","2,467",?0.8%,2.29,5.9,"1,068.6/sq mi (412.6/km2)"
Croton,Newaygo,"3,228","3,042",6.10%,33.7,87,95.8/sq mi (37.0/km2)
Crystal,Montcalm,"2,689","2,824",?4.8%,34,88,79.1/sq mi (30.5/km2)
Crystal,Oceana,838,832,0.70%,34.7,90,24.1/sq mi (9.3/km2)
Crystal FallsCounty seat,Iron,"1,469","1,791",?18.0%,3.47,9,423.3/sq mi (163.5/km2)
Crystal Falls,Iron,"1,743","1,722",1.20%,228.41,591.6,7.6/sq mi (2.9/km2)
Crystal Lake,Benzie,957,960,?0.3%,12.56,32.5,76.2/sq mi (29.4/km2)
Cumming,Ogemaw,698,796,?12.3%,34.49,89.3,20.2/sq mi (7.8/km2)
Curtis,Alcona,"1,236","1,378",?10.3%,68.39,177.1,18.1/sq mi (7.0/km2)
Custer,Antrim,"1,136",988,15.00%,34.71,89.9,32.7/sq mi (12.6/km2)
Custer,Mason,284,318,?10.7%,0.98,2.5,289.8/sq mi (111.9/km2)
Custer,Mason,"1,254","1,307",?4.1%,34.88,90.3,36.0/sq mi (13.9/km2)
Custer,Sanilac,"1,006","1,036",?2.9%,35.33,91.5,28.5/sq mi (11.0/km2)
Dafter,Chippewa,"1,263","1,304",?3.1%,47.8,124,26.4/sq mi (10.2/km2)
Daggett,Menominee,258,270,?4.4%,1.1,2.8,234.5/sq mi (90.6/km2)
Daggett,Menominee,714,740,?3.5%,35.94,93.1,19.9/sq mi (7.7/km2)
Dallas,Clinton,"2,369","2,323",2.00%,36.39,94.2,65.1/sq mi (25.1/km2)
Dalton,Muskegon,"9,300","8,047",15.60%,35.26,91.3,263.8/sq mi (101.8/km2)
Danby,Ionia,"2,988","2,696",10.80%,35.11,90.9,85.1/sq mi (32.9/km2)
Dansville,Ingham,563,429,31.20%,1.01,2.6,557.4/sq mi (215.2/km2)
Davison,Genesee,"5,173","5,536",?6.6%,1.98,5.1,"2,612.6/sq mi (1,008.7/km2)"
Davison,Genesee,"19,575","17,722",10.50%,33.32,86.3,587.5/sq mi (226.8/km2)
Day,Montcalm,"1,172","1,282",?8.6%,35.27,91.3,33.2/sq mi (12.8/km2)
Dayton,Newaygo,"1,949","2,002",?2.6%,32.91,85.2,59.2/sq mi (22.9/km2)
Dayton,Tuscola,"1,848","1,869",?1.1%,35.6,92,51.9/sq mi (20.0/km2)
Dearborn,Wayne,"98,153","97,775",0.40%,24.22,62.7,"4,052.6/sq mi (1,564.7/km2)"
Dearborn Heights,Wayne,"57,774","58,264",?0.8%,11.74,30.4,"4,921.1/sq mi (1,900.1/km2)"
Decatur,Van Buren,"1,819","1,838",?1.0%,1.35,3.5,"1,347.4/sq mi (520.2/km2)"
Decatur,Van Buren,"3,726","3,916",?4.9%,34.88,90.3,106.8/sq mi (41.2/km2)
Deckerville,Sanilac,830,944,?12.1%,1.25,3.2,664.0/sq mi (256.4/km2)
Deep River,Arenac,"2,149","2,244",?4.2%,35.28,91.4,60.9/sq mi (23.5/km2)
Deerfield,Isabella,"3,188","3,081",3.50%,35.45,91.8,89.9/sq mi (34.7/km2)
Deerfield,Lapeer,"5,695","5,736",?0.7%,35.41,91.7,160.8/sq mi (62.1/km2)
Deerfield,Lenawee,898,"1,005",?10.6%,0.96,2.5,935.4/sq mi (361.2/km2)
Deerfield,Lenawee,"1,568","1,770",?11.4%,25.01,64.8,62.7/sq mi (24.2/km2)
Deerfield,Livingston,"4,170","4,087",2.00%,36.17,93.7,115.3/sq mi (44.5/km2)
Deerfield,Mecosta,"1,816","1,630",11.40%,35.67,92.4,50.9/sq mi (19.7/km2)
Delaware,Sanilac,856,930,?8.0%,46.44,120.3,18.4/sq mi (7.1/km2)
Delhi,Ingham,"25,877","22,569",14.70%,28.61,74.1,904.5/sq mi (349.2/km2)
Delta,Eaton,"32,408","29,682",9.20%,32.46,84.1,998.4/sq mi (385.5/km2)
Denmark,Tuscola,"3,068","3,249",?5.6%,35.27,91.3,87.0/sq mi (33.6/km2)
Denton,Roscommon,"5,557","5,817",?4.5%,26.24,68,211.8/sq mi (81.8/km2)
Denver,Isabella,"1,148","1,147",0.10%,36.41,94.3,31.5/sq mi (12.2/km2)
Denver,Newaygo,"1,928","1,971",?2.2%,33.94,87.9,56.8/sq mi (21.9/km2)
Detour,Chippewa,807,894,?9.7%,48.77,126.3,16.5/sq mi (6.4/km2)
DeTour Village,Chippewa,325,421,?22.8%,3.54,9.2,91.8/sq mi (35.4/km2)
DetroitCounty seat,Wayne,"713,777","951,270",?25.0%,138.75,359.4,"5,144.3/sq mi (1,986.2/km2)"
DeWitt,Clinton,"4,507","4,702",?4.1%,2.86,7.4,"1,575.9/sq mi (608.4/km2)"
DeWitt,Clinton,"14,321","12,143",17.90%,31.03,80.4,461.5/sq mi (178.2/km2)
Dexter,Washtenaw,"4,067","2,338",74.00%,1.87,4.8,"2,174.9/sq mi (839.7/km2)"
Dexter,Washtenaw,"6,042","5,248",15.10%,30.36,78.6,199.0/sq mi (76.8/km2)
Dickson,Manistee,993,929,6.90%,69.53,180.1,14.3/sq mi (5.5/km2)
Dimondale,Eaton,"1,234","1,342",?8.0%,0.9,2.3,"1,371.1/sq mi (529.4/km2)"
Dorr,Allegan,"7,439","6,579",13.10%,36.15,93.6,205.8/sq mi (79.5/km2)
Douglas,Allegan,"1,232","1,214",1.50%,1.75,4.5,704.0/sq mi (271.8/km2)
Douglass,Montcalm,"2,180","2,377",?8.3%,34.74,90,62.8/sq mi (24.2/km2)
Dover,Lake,395,332,19.00%,36.86,95.5,10.7/sq mi (4.1/km2)
Dover,Lenawee,"1,834","1,787",2.60%,35.08,90.9,52.3/sq mi (20.2/km2)
Dover,Otsego,561,614,?8.6%,35.17,91.1,16.0/sq mi (6.2/km2)
Dowagiac,Cass,"5,879","6,147",?4.4%,4.46,11.6,"1,318.2/sq mi (508.9/km2)"
Doyle,Schoolcraft,624,630,?1.0%,146.12,378.4,4.3/sq mi (1.6/km2)
Drummond,Chippewa,"1,058",992,6.70%,128.91,333.9,8.2/sq mi (3.2/km2)
Dryden,Lapeer,951,815,16.70%,1.1,2.8,864.5/sq mi (333.8/km2)
Dryden,Lapeer,"4,768","4,624",3.10%,34.94,90.5,136.5/sq mi (52.7/km2)
Duncan,Houghton,236,280,?15.7%,176.11,456.1,1.3/sq mi (0.5/km2)
Dundee,Monroe,"3,957","3,522",12.40%,6.04,15.6,655.1/sq mi (252.9/km2)
Dundee,Monroe,"6,759","6,341",6.60%,48.22,124.9,140.2/sq mi (54.1/km2)
Duplain,Clinton,"2,363","2,329",1.50%,35.12,91,67.3/sq mi (26.0/km2)
Durand,Shiawassee,"3,446","3,933",?12.4%,2.1,5.4,"1,641.0/sq mi (633.6/km2)"
Dwight,Huron,758,930,?18.5%,35.73,92.5,21.2/sq mi (8.2/km2)
Eagle,Clinton,123,130,?5.4%,0.12,0.31,"1,025.0/sq mi (395.8/km2)"
Eagle,Clinton,"2,671","2,332",14.50%,34.74,90,76.9/sq mi (29.7/km2)
Eagle Harbor,Keweenaw,217,281,?22.8%,180.41,467.3,1.2/sq mi (0.5/km2)
East Bay,Grand Traverse,"10,663","9,919",7.50%,39.93,103.4,267.0/sq mi (103.1/km2)
East China,St. Clair,"3,788","3,630",4.40%,6.58,17,575.7/sq mi (222.3/km2)
East Grand Rapids,Kent,"10,694","10,764",?0.7%,2.93,7.6,"3,649.8/sq mi (1,409.2/km2)"
East Jordan,Charlevoix,"2,351","2,507",?6.2%,3.05,7.9,770.8/sq mi (297.6/km2)
Eastlake,Manistee,512,441,16.10%,1.16,3,441.4/sq mi (170.4/km2)
East Lansing,"Ingham, Clinton","48,579","46,525",4.40%,13.59,35.2,"3,574.6/sq mi (1,380.2/km2)"
Easton,Ionia,"3,082","2,835",8.70%,28.42,73.6,108.4/sq mi (41.9/km2)
Eastpointe,Macomb,"32,442","34,077",?4.8%,5.14,13.3,"6,311.7/sq mi (2,437.0/km2)"
East Tawas,Iosco,"2,808","2,951",?4.8%,2.84,7.4,988.7/sq mi (381.8/km2)
Eaton,Eaton,"4,073","4,278",?4.8%,32.02,82.9,127.2/sq mi (49.1/km2)
Eaton Rapids,Eaton,"5,214","5,330",?2.2%,3.39,8.8,"1,538.1/sq mi (593.8/km2)"
Eaton Rapids,Eaton,"4,113","3,821",7.60%,34.15,88.4,120.4/sq mi (46.5/km2)
Eau Claire,Berrien,625,656,?4.7%,0.74,1.9,844.6/sq mi (326.1/km2)
Echo,Antrim,877,928,?5.5%,34.85,90.3,25.2/sq mi (9.7/km2)
Eckford,Calhoun,"1,303","1,282",1.60%,35.4,92,36.8/sq mi (14.2/km2)
Ecorse,Wayne,"9,512","11,229",?15.3%,2.8,7.3,"3,397.1/sq mi (1,311.6/km2)"
Eden,Lake,487,377,29.20%,36.44,94.4,13.4/sq mi (5.2/km2)
Eden,Mason,582,555,4.90%,35.41,91.7,16.4/sq mi (6.3/km2)
Edenville,Midland,"2,551","2,528",0.90%,34.8,90,73.3/sq mi (28.3/km2)
Edmore,Montcalm,"1,201","1,244",?3.5%,1.51,3.9,795.4/sq mi (307.1/km2)
Edwards,Ogemaw,"1,413","1,390",1.70%,34.93,90.5,40.5/sq mi (15.6/km2)
Edwardsburg,Cass,"1,259","1,147",9.80%,0.91,2.4,"1,383.5/sq mi (534.2/km2)"
Egelston,Muskegon,"9,909","9,537",3.90%,31.95,82.8,310.1/sq mi (119.7/km2)
Elba,Gratiot,"1,396","1,394",0.10%,34.99,90.6,39.9/sq mi (15.4/km2)
Elba,Lapeer,"5,250","5,462",?3.9%,31.61,81.9,166.1/sq mi (64.1/km2)
Elberta,Benzie,372,457,?18.6%,0.74,1.9,502.7/sq mi (194.1/km2)
Elbridge,Oceana,971,"1,233",?21.2%,33.83,87.6,28.7/sq mi (11.1/km2)
Elk,Lake,985,900,9.40%,35.51,92,27.7/sq mi (10.7/km2)
Elk,Sanilac,"1,526","1,584",?3.7%,35.67,92.4,42.8/sq mi (16.5/km2)
Elkland,Tuscola,"3,528","3,659",?3.6%,35,91,100.8/sq mi (38.9/km2)
Elk Rapids,Antrim,"1,642","1,700",?3.4%,1.65,4.3,995.2/sq mi (384.2/km2)
Elk Rapids,Antrim,"2,631","2,741",?4.0%,7.08,18.3,371.6/sq mi (143.5/km2)
Elkton,Huron,808,863,?6.4%,1,2.6,808.0/sq mi (312.0/km2)
Ellington,Tuscola,"1,332","1,304",2.10%,35.44,91.8,37.6/sq mi (14.5/km2)
Ellis,Cheboygan,596,519,14.80%,35.57,92.1,16.8/sq mi (6.5/km2)
Ellsworth,Antrim,349,483,?27.7%,0.72,1.9,484.7/sq mi (187.2/km2)
Ellsworth,Lake,817,821,?0.5%,35.16,91.1,23.2/sq mi (9.0/km2)
Elmer,Oscoda,"1,138","1,095",3.90%,70.95,183.8,16.0/sq mi (6.2/km2)
Elmer,Sanilac,806,790,2.00%,36.33,94.1,22.2/sq mi (8.6/km2)
Elmira,Otsego,"1,687","1,598",5.60%,35.84,92.8,47.1/sq mi (18.2/km2)
Elm River,Houghton,177,169,4.70%,91.26,236.4,1.9/sq mi (0.7/km2)
Elmwood,Leelanau,"4,503","4,264",5.60%,19.94,51.6,225.8/sq mi (87.2/km2)
Elmwood,Tuscola,"1,207","1,213",?0.5%,35.4,92,34.1/sq mi (13.2/km2)
Elsie,Clinton,966,"1,055",?8.4%,1.16,3,832.8/sq mi (321.5/km2)
Ely,Marquette,"1,952","2,010",?2.9%,137.27,355.5,14.2/sq mi (5.5/km2)
Emerson,Gratiot,952,966,?1.4%,34.29,88.8,27.8/sq mi (10.7/km2)
Emmett,Calhoun,"11,770","11,979",?1.7%,32,83,367.8/sq mi (142.0/km2)
Emmett,St. Clair,269,251,7.20%,1.51,3.9,178.1/sq mi (68.8/km2)
Emmett,St. Clair,"2,654","2,506",5.90%,35.34,91.5,75.1/sq mi (29.0/km2)
Empire,Leelanau,375,378,?0.8%,1.15,3,326.1/sq mi (125.9/km2)
Empire,Leelanau,"1,182","1,085",8.90%,35.24,91.3,33.5/sq mi (13.0/km2)
Ensign,Delta,748,780,?4.1%,58.96,152.7,12.7/sq mi (4.9/km2)
Ensley,Newaygo,"2,635","2,474",6.50%,35.41,91.7,74.4/sq mi (28.7/km2)
Enterprise,Missaukee,194,194,0.00%,34.47,89.3,5.6/sq mi (2.2/km2)
Erie,Monroe,"4,517","4,850",?6.9%,23.72,61.4,190.4/sq mi (73.5/km2)
Erwin,Gogebic,326,357,?8.7%,47.45,122.9,6.9/sq mi (2.7/km2)
EscanabaCounty seat,Delta,"12,616","13,140",?4.0%,12.88,33.4,979.5/sq mi (378.2/km2)
Escanaba,Delta,"3,482","3,587",?2.9%,59.65,154.5,58.4/sq mi (22.5/km2)
Essex,Clinton,"1,910","1,812",5.40%,35.36,91.6,54.0/sq mi (20.9/km2)
Essexville,Bay,"3,478","3,766",?7.6%,1.3,3.4,"2,675.4/sq mi (1,033.0/km2)"
Estral Beach,Monroe,418,486,?14.0%,0.46,1.2,908.7/sq mi (350.8/km2)
Eureka,Montcalm,"3,959","3,271",21.00%,28.73,74.4,137.8/sq mi (53.2/km2)
Evangeline,Charlevoix,712,773,?7.9%,11.02,28.5,64.6/sq mi (24.9/km2)
Evart,Osceola,"1,903","1,738",9.50%,2.24,5.8,849.6/sq mi (328.0/km2)
Evart,Osceola,"1,483","1,513",?2.0%,32.8,85,45.2/sq mi (17.5/km2)
Eveline,Charlevoix,"1,484","1,560",?4.9%,25.81,66.8,57.5/sq mi (22.2/km2)
Everett,Newaygo,"1,862","1,985",?6.2%,35.24,91.3,52.8/sq mi (20.4/km2)
Evergreen,Montcalm,"2,858","2,922",?2.2%,34.65,89.7,82.5/sq mi (31.8/km2)
Evergreen,Sanilac,924,995,?7.1%,35.35,91.6,26.1/sq mi (10.1/km2)
Ewing,Marquette,160,159,0.60%,48.29,125.1,3.3/sq mi (1.3/km2)
Excelsior,Kalkaska,953,855,11.50%,35.33,91.5,27.0/sq mi (10.4/km2)
Exeter,Monroe,"3,968","3,727",6.50%,36.53,94.6,108.6/sq mi (41.9/km2)
Fabius,St. Joseph,"3,248","3,285",?1.1%,32.03,83,101.4/sq mi (39.2/km2)
